Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly)
0611190000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0611200000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0611210000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0611220000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0611230000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0611240000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0612010000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0612020000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0612030000,10.954324274500001,0.0,0.0,0.0,5.48122459637,1.0115996781
0612040000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0612050000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0612060000,22.258080146999998,15.7652558726,0.0,0.0,5.48122459637,1.0115996781
0612070000,42.748152648499996,15.7652558726,0.0,0.0,21.9248983855,5.05799839049
0612080000,62.22662547189999,15.7652558726,0.0,0.0,38.3685721746,8.09279742479
0612090000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0612100000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0612110000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0612120000,67.71704526010001,15.7652558726,0.00919519178352,0.0,43.8497967709,8.09279742479
0612130000,74.4935589413,15.7652558726,0.29288459854000004,0.0,49.331021367299996,9.10439710289
0612140000,74.7042584028,15.7652558726,0.503584060041,0.0,49.331021367299996,9.10439710289
0612150000,74.8627283629,15.7652558726,0.662054020093,0.0,49.331021367299996,9.10439710289
0612160000,74.7824238736,15.7652558726,0.5817495307899999,0.0,49.331021367299996,9.10439710289
0612170000,20.490072501500002,0.0,0.0,0.0,16.4436737891,4.04639871239
0612180000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0612190000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0612200000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0612210000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0612220000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0612230000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0612240000,13.9286576078,0.0,0.0,0.0,5.48122459637,1.0115996781
0613010000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0613020000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0613030000,9.467157607799999,0.0,0.0,0.0,5.48122459637,1.0115996781
0613040000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0613050000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0613060000,22.258080146999998,15.7652558726,0.0,0.0,5.48122459637,1.0115996781
0613070000,42.748152648499996,15.7652558726,0.0,0.0,21.9248983855,5.05799839049
0613080000,62.22662547189999,15.7652558726,0.0,0.0,38.3685721746,8.09279742479
0613090000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0613100000,74.2116205934,15.7652558726,0.010946250594200001,0.0,49.331021367299996,9.10439710289
0613110000,74.5230456063,15.7652558726,0.322371263548,0.0,49.331021367299996,9.10439710289
0613120000,68.2504075212,15.7652558726,0.542557452922,0.0,43.8497967709,8.09279742479
0613130000,75.0230740245,15.7652558726,0.822399681761,0.0,49.331021367299996,9.10439710289
0613140000,75.1590815137,15.7652558726,0.95840717098,0.0,49.331021367299996,9.10439710289
0613150000,75.1872679076,15.7652558726,0.986593564873,0.0,49.331021367299996,9.10439710289
0613160000,75.1651252903,15.7652558726,0.964450947584,0.0,49.331021367299996,9.10439710289
0613170000,20.490072501500002,0.0,0.0,0.0,16.4436737891,4.04639871239
0613180000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0613190000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0613200000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0613210000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0613220000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0613230000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0613240000,13.9286576078,0.0,0.0,0.0,5.48122459637,1.0115996781
0614010000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0614020000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0614030000,9.467157607799999,0.0,0.0,0.0,5.48122459637,1.0115996781
0614040000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0614050000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0614060000,22.258080146999998,15.7652558726,0.0,0.0,5.48122459637,1.0115996781
0614070000,42.748152648499996,15.7652558726,0.0,0.0,21.9248983855,5.05799839049
0614080000,62.22662547189999,15.7652558726,0.0,0.0,38.3685721746,8.09279742479
0614090000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0614100000,74.3105944305,15.7652558726,0.109920087721,0.0,49.331021367299996,9.10439710289
0614110000,74.4465663516,15.7652558726,0.245892008813,0.0,49.331021367299996,9.10439710289
0614120000,68.00189942819999,15.7652558726,0.294049359854,0.0,43.8497967709,8.09279742479
0614130000,74.6245782374,15.7652558726,0.42390389464,0.0,49.331021367299996,9.10439710289
0614140000,74.613214687,15.7652558726,0.412540344251,0.0,49.331021367299996,9.10439710289
0614150000,74.7353363293,15.7652558726,0.534661986562,0.0,49.331021367299996,9.10439710289
0614160000,74.68866713279999,15.7652558726,0.487992790021,0.0,49.331021367299996,9.10439710289
0614170000,20.490072501500002,0.0,0.0,0.0,16.4436737891,4.04639871239
0614180000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0614190000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0614200000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0614210000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0614220000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0614230000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0614240000,13.9286576078,0.0,0.0,0.0,5.48122459637,1.0115996781
0615010000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0615020000,15.4158242745,0.0,0.0,0.0,5.48122459637,1.0115996781
0615030000,9.467157607799999,0.0,0.0,0.0,5.48122459637,1.0115996781
0615040000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0615050000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0615060000,22.258080146999998,15.7652558726,0.0,0.0,5.48122459637,1.0115996781
0615070000,42.748152648499996,15.7652558726,0.0,0.0,21.9248983855,5.05799839049
0615080000,62.22662547189999,15.7652558726,0.0,0.0,38.3685721746,8.09279742479
0615090000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0615100000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0615110000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0615120000,67.7078500683,15.7652558726,0.0,0.0,43.8497967709,8.09279742479
0615130000,74.2006743428,15.7652558726,0.0,0.0,49.331021367299996,9.10439710289
0615140000,74.2271648367,15.7652558726,0.026490493895,0.0,49.331021367299996,9.10439710289
0615150000,74.4401226454,15.7652558726,0.239448302608,0.0,49.331021367299996,9.10439710289
0615160000,74.5252552134,15.7652558726,0.324580870612,0.0,49.331021367299996,9.10439710289
0615170000,20.490072501500002,0.0,0.0,0.0,16.4436737891,4.04639871239
0615180000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0615190000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
0615200000,6.49282427446,0.0,0.0,0.0,5.48122459637,1.0115996781
