Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly)
0414220000,76.3429897595,20.4483396032,21.2077535271,0.0,4.1224310944800004,15.988889478900001
0414230000,60.377995206499996,12.6854641594,13.2004699032,0.0017427279654,4.1224310944800004,15.988889478900001
0414240000,72.5218109092,18.3689203239,19.4878360855,0.0,4.1224310944800004,15.988889478900001
0415010000,57.611334694499995,11.372677745,11.762334770399999,0.00784589699937,4.1224310944800004,15.988889478900001
0415020000,74.0132991005,19.6817067383,19.6446959463,0.0,4.1224310944800004,15.988889478900001
0415030000,69.3723886583,17.4942098323,17.2349664725,0.0,4.1224310944800004,15.988889478900001
0415040000,86.5549262575,27.3365045554,24.0782234567,0.21572550738000001,4.1224310944800004,16.0517297156
0415050000,84.5052909561,26.2413147484,23.339503485100003,0.0,4.1224310944800004,16.0517297156
0415060000,106.857830673,28.8697702852,24.7432135315,1.8137992907900002,4.1224310944800004,39.6058045677
0415070000,157.792987191,28.9117832148,32.7199875126,17.7854692584,12.367293283399999,65.3531420225
0415080000,162.547392972,28.8971796491,40.5136155331,11.8699828935,12.367293283399999,68.2430321324
0415090000,194.106172911,29.029654202199996,49.2612414774,5.5317837271000005,16.4897243779,93.1370602926
0415100000,195.300433027,29.091987620500003,53.6899147611,2.23492097381,16.4897243779,93.1370602926
0415110000,197.365295858,29.12802721,57.0864705061,0.8671938831810001,16.4897243779,93.1370602926
0415120000,190.74861251099998,29.240909528200003,60.1420599376,0.233692206676,16.4897243779,83.9857416113
0415130000,193.504079738,29.455693400599998,62.9023287085,0.0141050190314,16.4897243779,83.9857416113
0415140000,195.609448008,29.7170581993,64.7604814992,0.0,16.4897243779,83.9857416113
0415150000,172.149619903,28.8697702852,59.6048321778,0.0,12.367293283399999,70.65127389060001
0415160000,167.216353106,28.8697702852,54.671557030500004,0.0,12.367293283399999,70.65127389060001
0415170000,150.235491372,28.8697702852,50.2142269524,0.0,12.367293283399999,58.128416747799996
0415180000,107.03326278200001,27.7745804782,41.294701202199995,0.0,12.367293283399999,24.9413748627
0415190000,111.076858149,28.3221753817,37.7432017618,0.0,12.367293283399999,24.9413748627
0415200000,95.0647224098,27.3365045554,32.803744297899996,0.0,4.1224310944800004,16.0517297156
0415210000,63.898696933400004,12.8310090156,16.5700883145,0.0,4.1224310944800004,15.988889478900001
0415220000,69.118280891,15.963466472,18.5498249878,0.0,4.1224310944800004,15.988889478900001
0415230000,69.4192029431,16.621661371600002,18.2089337308,0.0,4.1224310944800004,15.988889478900001
0415240000,61.9713815298,13.1206573742,14.3167214249,0.0,4.1224310944800004,15.988889478900001
0416010000,55.2558259845,10.933881145199999,11.903762778199999,0.0,2.0612155472400002,15.988889478900001
0416020000,61.785265247299996,14.2158471812,15.096631012000001,0.0,2.0612155472400002,15.988889478900001
0416030000,69.1723136325,17.4942098323,19.037448878699998,0.0,2.0612155472400002,15.988889478900001
0416040000,67.5547127209,17.4942098323,17.4785058245,0.0,2.0612155472400002,15.988889478900001
0416050000,76.0339982444,21.867762290300004,21.4750288316,0.0,2.0612155472400002,15.988889478900001
0416060000,63.6737479262,18.7208224161,19.105430512,0.312997980174,2.0612155472400002,15.988889478900001
0416070000,64.6991788644,21.867762290300004,24.235209485,0.0,2.0612155472400002,15.988889478900001
0416080000,95.55776229899999,19.3122249119,29.7660198175,0.0,4.1224310944800004,41.736226933699996
0416090000,110.957052785,23.621656915,40.636532077800005,0.00576445790286,4.1224310944800004,41.736226933699996
0416100000,104.654221839,19.699010723,38.5211176958,0.0,4.1224310944800004,41.736226933699996
0416110000,115.42043108600001,23.628004895100002,45.0303749564,0.0,4.1224310944800004,41.736226933699996
