Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 12/01  22:00:00,90.6443768564,21.2865437679,14.8564938236,0.469354571127,12.3672932834,27.0668015668,86.6525594063,83.6608289884,2.97173041782,0.02
 12/01  23:00:00,64.2991860739,17.4942098323,12.1617629328,0.0,4.12243109448,15.9888894789,87.4478324487,75.8742836029,2.97173041782,8.60181842806
 12/01  24:00:00,73.7798378948,22.9629520973,14.154113803,1.70467577713,4.12243109448,15.9888894789,101.190535486,98.1988050681,2.97173041782,0.02
 12/02  01:00:00,63.3231904937,17.4942098323,10.8864131887,0.0,4.12243109448,15.9888894789,82.2756297947,79.2838993769,2.97173041782,0.02
 12/02  02:00:00,75.9386334335,23.3134128356,13.3041381402,3.38382991072,4.12243109448,15.9888894789,104.449281667,101.45755125,2.97173041782,0.02
 12/02  03:00:00,72.4854363702,19.6845894463,9.84020704808,7.1862655012,4.12243109448,15.9888894789,84.5102609264,81.5185305086,2.97173041782,0.02
 12/02  04:00:00,79.095830044,23.6200659815,12.8981516112,6.936605941,4.12243109448,15.9888894789,106.052163762,103.060433345,2.97173041782,0.02
 12/02  05:00:00,88.4863231021,28.4316943624,14.7366330392,10.0124455918,4.12243109448,16.0517297156,126.507870922,123.516140504,2.97173041782,0.02
 12/02  06:00:00,89.9727990474,27.9936184396,13.9227720181,9.21154654304,4.12243109448,16.0517297156,128.025048264,125.033317846,2.97173041782,0.02
 12/02  07:00:00,122.179075341,28.8697702852,13.9342427509,15.1947760572,4.12243109448,39.6058045677,114.832603117,111.8408727,2.97173041782,0.02
 12/02  08:00:00,173.582293922,28.8757171266,18.1811899318,45.4963927044,12.3672932834,65.3531420225,162.944463589,157.971579559,4.9528840297,0.02
 12/02  09:00:00,162.316929444,28.8749694534,20.2271390515,31.9482040265,12.3672932834,68.2430321324,154.431398348,149.458514319,4.9528840297,0.02
 12/02  10:00:00,180.645773468,28.9010655235,22.8294020146,18.6318159816,16.4897243779,93.1370602926,138.868968307,130.924353859,7.92461444751,0.02
 12/02  11:00:00,179.996735248,28.9042618935,27.5673517954,13.2415175968,16.4897243779,93.1370602926,130.222763666,122.278149218,7.92461444751,0.02
 12/02  12:00:00,183.75414466,29.0036859176,34.1478197966,10.3190250558,16.4897243779,93.1370602926,133.694559767,117.157169309,7.92461444751,8.61277601049
 12/02  13:00:00,180.397972246,29.1853173906,41.9653872102,8.11531188694,16.4897243779,83.9857416113,121.035700539,113.091086092,7.92461444751,0.02
 12/02  14:00:00,181.704530545,29.279223005,44.8992903493,6.39406708808,16.4897243779,83.9857416113,118.037177082,110.092562635,7.92461444751,0.02
 12/02  15:00:00,181.362110862,29.3024023841,45.6159334767,5.31187077857,16.4897243779,83.9857416113,116.485449706,108.540835259,7.92461444751,0.02
 12/02  16:00:00,151.974011307,28.8697702852,39.4292281035,0.0,12.3672932834,70.6512738906,61.3077744238,56.3348903941,4.9528840297,0.02
 12/02  17:00:00,150.700464635,28.8697702852,33.4573399071,0.0,12.3672932834,70.6512738906,65.7326668597,60.75978283,4.9528840297,0.02
 12/02  18:00:00,139.77844046,28.8697702852,25.6621781006,0.0,12.3672932834,58.1284167478,74.718963493,69.7460794633,4.9528840297,0.02
 12/02  19:00:00,99.1857162474,26.2413147484,20.885420594,0.0,12.3672932834,24.9413748627,99.3809492601,94.4080652304,4.9528840297,0.02
 12/02  20:00:00,97.3692808271,26.2413147484,19.0689851517,0.0,12.3672932834,24.9413748627,106.988980727,102.016096697,4.9528840297,0.02
 12/02  21:00:00,79.3533704583,26.2413147484,18.1875820957,0.0,4.12243109448,16.0517297156,125.051474469,113.47793678,2.97173041782,8.60180727076
 12/02  22:00:00,69.4653263247,20.1183413071,14.597375584,0.0,4.12243109448,15.9888894789,96.7300532024,93.7383227846,2.97173041782,0.02
 12/02  23:00:00,64.6525051062,17.4942098323,12.510539438,0.0,4.12243109448,15.9888894789,84.97283016,81.9810997422,2.97173041782,0.02
 12/02  24:00:00,72.4521184838,21.8677622903,15.8303992738,0.0,4.12243109448,15.9888894789,106.891686111,103.899955693,2.97173041782,0.02
 12/03  01:00:00,64.3498415754,18.3703616779,12.0377230118,1.2776108476,2.06121554724,15.9888894789,86.8727941835,83.8810637657,2.97173041782,0.02
 12/03  02:00:00,71.1903771111,22.3058382131,14.384404248,0.81217284772,2.06121554724,15.9888894789,108.794549988,105.802819571,2.97173041782,0.02
 12/03  03:00:00,71.9510658249,19.6845894463,11.0018036752,5.916938409,2.06121554724,15.9888894789,87.441055574,84.4493251562,2.97173041782,0.02
 12/03  04:00:00,81.7569436862,23.6200659815,13.9389988419,6.33649861026,2.06121554724,15.9888894789,109.707888423,106.716158005,2.97173041782,0.02
 12/03  05:00:00,76.7576885375,19.6845894463,11.3156813764,9.30764172946,2.06121554724,15.9888894789,88.6886899164,85.6969594986,2.97173041782,0.02
 12/03  06:00:00,84.4212934058,23.6200659815,14.6660534108,8.37395838633,2.06121554724,15.9888894789,110.801742237,107.810011819,2.97173041782,0.02
 12/03  07:00:00,79.1118744388,19.6845894463,11.244988246,11.7061639296,2.06121554724,15.9888894789,89.5479210118,86.556190594,2.97173041782,0.02
 12/03  08:00:00,69.4089887579,23.6200659815,13.8804353644,7.97149168191,2.06121554724,15.9888894789,110.409887342,107.418156924,2.97173041782,0.02
 12/03  09:00:00,79.9857122897,18.1513237165,13.0896664687,0.817553671143,4.12243109448,41.7362269337,84.0262253865,79.0533413568,4.9528840297,0.02
 12/03  10:00:00,93.244360375,23.1819900587,20.7383357035,1.40641253636,4.12243109448,41.7362269337,96.5198771618,91.5469931321,4.9528840297,0.02
 12/03  11:00:00,87.2103145218,19.0274755621,20.0871509473,1.11067881139,4.12243109448,41.7362269337,75.5231457307,70.550261701,4.9528840297,0.02
 12/03  12:00:00,99.9415169085,23.6200659815,27.9196628734,0.833657035761,4.12243109448,41.7362269337,91.0877831459,86.1148991162,4.9528840297,0.02
 12/03  13:00:00,90.7602703523,19.5750704656,23.7548725204,0.665260586427,4.12243109448,41.7362269337,74.13934413,69.1664601003,4.9528840297,0.02
 12/03  14:00:00,99.9297794151,23.6200659815,28.6728719486,0.308105050466,4.12243109448,41.7362269337,89.0999521179,84.1270680882,4.9528840297,0.02
 12/03  15:00:00,91.788291844,19.684658463,25.195687639,0.218122680601,4.12243109448,41.7362269337,71.1581826467,66.185298617,4.9528840297,0.02
 12/03  16:00:00,100.317322607,23.6200659815,29.4293829852,0.222433486607,4.12243109448,41.7362269337,88.2977045329,83.3248205032,4.9528840297,0.02
 12/03  17:00:00,73.5617723083,18.3703616779,20.6799509011,0.12686834981,4.12243109448,24.8785346261,75.1139190066,70.1410349769,4.9528840297,0.02
 12/03  18:00:00,74.9177166598,21.8677622903,20.2001559523,0.0,2.06121554724,15.9888894789,102.393224561,99.4014941432,2.97173041782,0.02
 12/03  19:00:00,64.9858379241,17.4942098323,14.9096310026,0.0,2.06121554724,15.9888894789,86.5667834329,83.5750530151,2.97173041782,0.02
 12/03  20:00:00,71.5365453942,21.8677622903,16.9775758974,0.0,2.06121554724,15.9888894789,108.903223649,105.911493231,2.97173041782,0.02
 12/03  21:00:00,62.524556924,17.4942098323,12.4483499344,0.0,2.06121554724,15.9888894789,88.5285122155,85.5367817977,2.97173041782,0.02
